h_cty,36001,36003,36005,36007,36009,36011,36013,36015,36017,36019,36021,36023,36025,36027,36029,36031,36033,36035,36037,36039,36041,36043,36045,36047,36049,36051,36053,36055,36057,36059,36061,36063,36065,36067,36069,36071,36073,36075,36077,36079,36081,36083,36085,36087,36089,36091,36093,36095,36097,36099,36101,36103,36105,36107,36109,36111,36113,36115,36117,36119,36121,36123
36001,91951.0,24.0,308.0,458.0,24.0,64.0,53.0,150.0,52.0,160.0,939.0,78.0,93.0,959.0,709.0,104.0,163.0,403.0,24.0,1558.0,11.0,81.0,129.0,620.0,20.0,35.0,98.0,1074.0,578.0,1431.0,4227.0,88.0,851.0,1370.0,112.0,799.0,24.0,108.0,248.0,62.0,734.0,10128.0,141.0,369.0,162.0,6906.0,9352.0,472.0,8.0,45.0,61.0,1544.0,151.0,25.0,146.0,628.0,692.0,276.0,17.0,1271.0,21.0,7.0
36003,69.0,8450.0,3.0,80.0,2047.0,25.0,481.0,91.0,6.0,6.0,5.0,22.0,12.0,14.0,1747.0,4.0,0.0,6.0,99.0,0.0,0.0,3.0,15.0,11.0,7.0,356.0,10.0,487.0,6.0,29.0,90.0,212.0,68.0,240.0,102.0,30.0,36.0,27.0,14.0,0.0,15.0,13.0,3.0,9.0,21.0,23.0,10.0,6.0,12.0,27.0,836.0,37.0,7.0,12.0,32.0,23.0,6.0,2.0,68.0,47.0,476.0,10.0
36005,1413.0,105.0,131252.0,277.0,27.0,42.0,52.0,57.0,12.0,32.0,79.0,35.0,38.0,1065.0,656.0,9.0,13.0,32.0,0.0,62.0,0.0,25.0,24.0,49556.0,3.0,29.0,62.0,453.0,56.0,16670.0,221378.0,58.0,214.0,575.0,52.0,1739.0,5.0,42.0,75.0,419.0,49629.0,127.0,3655.0,4176.0,53.0,221.0,153.0,48.0,4.0,9.0,17.0,8931.0,180.0,7.0,106.0,441.0,208.0,12.0,7.0,41199.0,3.0,0.0
36007,1080.0,86.0,119.0,55090.0,61.0,260.0,109.0,988.0,1554.0,51.0,53.0,791.0,729.0,295.0,938.0,37.0,44.0,86.0,101.0,54.0,1.0,72.0,156.0,343.0,14.0,136.0,163.0,1602.0,107.0,463.0,1245.0,117.0,716.0,2598.0,273.0,343.0,42.0,209.0,463.0,30.0,299.0,108.0,87.0,148.0,67.0,189.0,152.0,87.0,74.0,167.0,381.0,533.0,118.0,2773.0,1028.0,156.0,87.0,47.0,92.0,543.0,68.0,39.0
36009,90.0,975.0,8.0,133.0,16040.0,57.0,1711.0,126.0,8.0,14.0,7.0,35.0,25.0,11.0,5290.0,2.0,1.0,12.0,149.0,0.0,0.0,12.0,35.0,20.0,12.0,230.0,17.0,746.0,9.0,51.0,160.0,355.0,98.0,355.0,157.0,48.0,72.0,42.0,21.0,4.0,19.0,10.0,10.0,10.0,19.0,31.0,12.0,7.0,9.0,39.0,421.0,77.0,6.0,12.0,54.0,30.0,6.0,1.0,118.0,81.0,1132.0,23.0
36011,438.0,20.0,27.0,370.0,20.0,14299.0,39.0,173.0,52.0,19.0,15.0,725.0,19.0,48.0,563.0,31.0,44.0,18.0,37.0,15.0,1.0,40.0,144.0,60.0,19.0,63.0,206.0,1264.0,32.0,111.0,429.0,58.0,466.0,7922.0,603.0,88.0,14.0,1043.0,62.0,5.0,91.0,44.0,24.0,42.0,64.0,90.0,58.0,37.0,58.0,911.0,49.0,166.0,15.0,54.0,2131.0,43.0,26.0,8.0,778.0,158.0,16.0,91.0
36013,180.0,128.0,25.0,156.0,1439.0,48.0,34419.0,108.0,35.0,16.0,13.0,54.0,38.0,36.0,6426.0,10.0,3.0,19.0,182.0,2.0,0.0,15.0,51.0,43.0,21.0,120.0,43.0,975.0,10.0,99.0,246.0,622.0,205.0,595.0,125.0,110.0,97.0,65.0,45.0,3.0,39.0,21.0,8.0,17.0,38.0,51.0,26.0,10.0,7.0,41.0,113.0,120.0,17.0,19.0,68.0,55.0,22.0,8.0,69.0,145.0,143.0,6.0
36015,137.0,77.0,8.0,624.0,92.0,124.0,90.0,18751.0,17.0,18.0,13.0,142.0,24.0,33.0,777.0,3.0,0.0,12.0,70.0,1.0,0.0,7.0,33.0,31.0,14.0,128.0,25.0,1073.0,7.0,65.0,172.0,112.0,128.0,709.0,284.0,59.0,27.0,75.0,37.0,3.0,21.0,15.0,9.0,15.0,28.0,38.0,17.0,13.0,753.0,177.0,4392.0,88.0,10.0,806.0,1501.0,36.0,11.0,3.0,74.0,105.0,109.0,140.0
36017,268.0,26.0,29.0,2469.0,14.0,115.0,37.0,136.0,9243.0,12.0,16.0,526.0,1016.0,46.0,258.0,7.0,13.0,30.0,23.0,7.0,0.0,59.0,34.0,58.0,6.0,27.0,600.0,394.0,30.0,134.0,304.0,37.0,434.0,1330.0,70.0,80.0,9.0,92.0,1095.0,8.0,68.0,23.0,15.0,28.0,19.0,50.0,37.0,25.0,13.0,37.0,51.0,136.0,23.0,87.0,212.0,32.0,19.0,11.0,31.0,138.0,20.0,18.0
